filename,cell_line,time_h,isotropy,low_freq_frac,high_freq_frac,azimuthal_std
A172_Phase_A7_1_00d00h00m_1,A172,0.0,1.0,0.03845417540963653,0.14350770484806982,0.0
A172_Phase_A7_1_00d00h00m_2,A172,0.0,1.0,0.03838437643093431,0.1479454755933336,0.0
A172_Phase_A7_1_00d00h00m_3,A172,0.0,1.0,0.020092925848032853,0.1265788493408833,0.0
A172_Phase_A7_1_00d00h00m_4,A172,0.0,1.0,0.02041187249994204,0.1403525087085986,0.0
A172_Phase_A7_1_00d04h00m_1,A172,4.0,1.0,0.027621620946903642,0.16317756169338796,0.0
A172_Phase_A7_1_00d04h00m_2,A172,4.0,1.0,0.01891702488089399,0.1753358233417809,0.0
A172_Phase_A7_1_00d04h00m_3,A172,4.0,1.0,0.029645539073751406,0.14487083115430766,0.0
A172_Phase_A7_1_00d04h00m_4,A172,4.0,1.0,0.03586060216110622,0.1658527225063326,0.0
A172_Phase_A7_1_00d08h00m_1,A172,8.0,1.0,0.03158991410910238,0.18037408490002318,0.0
A172_Phase_A7_1_00d08h00m_2,A172,8.0,1.0,0.026546850908955626,0.16985304761743672,0.0
A172_Phase_A7_1_00d08h00m_3,A172,8.0,1.0,0.038450621868233385,0.19351454358832543,0.0
A172_Phase_A7_1_00d08h00m_4,A172,8.0,1.0,0.04266634936929594,0.19753891969745976,0.0
A172_Phase_A7_1_00d12h00m_1,A172,12.0,1.0,0.031192980431898974,0.19414681645532345,0.0
A172_Phase_A7_1_00d12h00m_2,A172,12.0,1.0,0.032675697381291814,0.19699556860568138,0.0
A172_Phase_A7_1_00d12h00m_3,A172,12.0,1.0,0.0217658293551067,0.1908301895386161,0.0
A172_Phase_A7_1_00d12h00m_4,A172,12.0,1.0,0.023633086695028536,0.19616044551701584,0.0
A172_Phase_A7_1_00d16h00m_1,A172,16.0,1.0,0.0253411881679046,0.21712823836926043,0.0
A172_Phase_A7_1_00d16h00m_2,A172,16.0,1.0,0.05195375506519507,0.1715715416541455,0.0
A172_Phase_A7_1_00d16h00m_3,A172,16.0,1.0,0.02608500583238855,0.20117378066522165,0.0
A172_Phase_A7_1_00d16h00m_4,A172,16.0,1.0,0.022638822082843568,0.21379856222939625,0.0
A172_Phase_A7_1_00d20h00m_1,A172,20.0,1.0,0.0320770965536717,0.2136745252617544,0.0
A172_Phase_A7_1_00d20h00m_2,A172,20.0,1.0,0.03384998185942007,0.21853822379999555,0.0
A172_Phase_A7_1_00d20h00m_3,A172,20.0,1.0,0.02778528183499175,0.20192736746930992,0.0
A172_Phase_A7_1_00d20h00m_4,A172,20.0,1.0,0.03344869571702316,0.2039208737202192,0.0
A172_Phase_A7_1_01d00h00m_1,A172,24.0,1.0,0.0353700904839397,0.20967297937371324,0.0
A172_Phase_A7_1_01d00h00m_2,A172,24.0,1.0,0.040685489323947124,0.21142156171296714,0.0
A172_Phase_A7_1_01d00h00m_3,A172,24.0,1.0,0.024424196146531876,0.20503613455471179,0.0
A172_Phase_A7_1_01d00h00m_4,A172,24.0,1.0,0.0420029348928519,0.21089172872738968,0.0
A172_Phase_A7_1_01d04h00m_1,A172,28.0,1.0,0.02156837656092438,0.18954747215526854,0.0
A172_Phase_A7_1_01d04h00m_2,A172,28.0,1.0,0.03749266450836959,0.23339366645232415,0.0
A172_Phase_A7_1_01d04h00m_3,A172,28.0,1.0,0.03454647992109839,0.1810603928728267,0.0
A172_Phase_A7_1_01d04h00m_4,A172,28.0,1.0,0.02651126647777177,0.2032998454918154,0.0
A172_Phase_A7_1_01d08h00m_1,A172,32.0,1.0,0.0837255301116357,0.16279239822148925,0.0
A172_Phase_A7_1_01d08h00m_2,A172,32.0,1.0,0.03709543453872875,0.21128030574737156,0.0
A172_Phase_A7_1_01d08h00m_3,A172,32.0,1.0,0.019915409882407514,0.22027478127372938,0.0
A172_Phase_A7_1_01d08h00m_4,A172,32.0,1.0,0.03768167689639309,0.2060769739605476,0.0
A172_Phase_A7_1_01d12h00m_1,A172,36.0,1.0,0.02532224820000988,0.21238579529227025,0.0
A172_Phase_A7_1_01d12h00m_2,A172,36.0,1.0,0.025723553523424245,0.2227262984945179,0.0
A172_Phase_A7_1_01d12h00m_3,A172,36.0,1.0,0.02298308933534817,0.20651938072638548,0.0
A172_Phase_A7_1_01d12h00m_4,A172,36.0,1.0,0.02935560521561674,0.21386577630999148,0.0
A172_Phase_A7_1_01d16h00m_1,A172,40.0,1.0,0.01576524584898463,0.2222322339605329,0.0
A172_Phase_A7_1_01d16h00m_2,A172,40.0,1.0,0.038975573270840974,0.1848809484221906,0.0
A172_Phase_A7_1_01d16h00m_3,A172,40.0,1.0,0.018746691758533163,0.19401692231189893,0.0
A172_Phase_A7_1_01d16h00m_4,A172,40.0,1.0,0.030650434409839403,0.22201754398186443,0.0
A172_Phase_A7_1_01d20h00m_1,A172,44.0,1.0,0.017834001174975366,0.2146217311756778,0.0
A172_Phase_A7_1_01d20h00m_2,A172,44.0,1.0,0.023348783058224177,0.2070596087875361,0.0
A172_Phase_A7_1_01d20h00m_3,A172,44.0,1.0,0.013955756479617516,0.18990081490428246,0.0
A172_Phase_A7_1_01d20h00m_4,A172,44.0,1.0,0.02192793966618102,0.2196031686587364,0.0
A172_Phase_A7_1_02d00h00m_1,A172,48.0,1.0,0.028584399412758883,0.2048711347102225,0.0
A172_Phase_A7_1_02d00h00m_2,A172,48.0,1.0,0.020474121688188844,0.23713120502400964,0.0
A172_Phase_A7_1_02d00h00m_3,A172,48.0,1.0,0.014516387657866574,0.22290200884575392,0.0
A172_Phase_A7_1_02d00h00m_4,A172,48.0,1.0,0.023301380660845996,0.24289356020612568,0.0
A172_Phase_A7_1_02d04h00m_1,A172,52.0,1.0,0.01383197839244061,0.20399535724137458,0.0
A172_Phase_A7_1_02d04h00m_2,A172,52.0,1.0,0.018334930093341716,0.22882240114865768,0.0
A172_Phase_A7_1_02d04h00m_3,A172,52.0,1.0,0.014221491635432846,0.19740367013583118,0.0
A172_Phase_A7_1_02d04h00m_4,A172,52.0,1.0,0.02320637481544156,0.22756095444613322,0.0
A172_Phase_A7_1_02d08h00m_1,A172,56.0,1.0,0.017350299182629685,0.22375901843393198,0.0
A172_Phase_A7_1_02d08h00m_2,A172,56.0,1.0,0.019827055272839463,0.24494502391222842,0.0
A172_Phase_A7_1_02d08h00m_3,A172,56.0,1.0,0.021193638790654345,0.20945339598451085,0.0
A172_Phase_A7_1_02d08h00m_4,A172,56.0,1.0,0.023895192009270275,0.20699156374407718,0.0
A172_Phase_A7_1_02d12h00m_1,A172,60.0,1.0,0.016724455503570643,0.2373663185673465,0.0
A172_Phase_A7_1_02d12h00m_2,A172,60.0,1.0,0.023265425355534906,0.24156826144727048,0.0
A172_Phase_A7_1_02d12h00m_3,A172,60.0,1.0,0.015540986836610026,0.2266904052663784,0.0
A172_Phase_A7_1_02d12h00m_4,A172,60.0,1.0,0.027457100068266908,0.2618519767289996,0.0
A172_Phase_A7_1_02d16h00m_1,A172,64.0,1.0,0.022023759191974725,0.2175845982990126,0.0
A172_Phase_A7_1_02d16h00m_2,A172,64.0,1.0,0.024368918199426517,0.22977574001069986,0.0
A172_Phase_A7_1_02d16h00m_3,A172,64.0,1.0,0.01301241077589351,0.2120713771623043,0.0
A172_Phase_A7_1_02d16h00m_4,A172,64.0,1.0,0.022745901490113168,0.25182387895658714,0.0
A172_Phase_A7_1_02d20h00m_1,A172,68.0,1.0,0.014667889877778197,0.20381069381758954,0.0
A172_Phase_A7_1_02d20h00m_2,A172,68.0,1.0,0.017372112415935576,0.2507165535714571,0.0
A172_Phase_A7_1_02d20h00m_3,A172,68.0,1.0,0.010925672619389665,0.2172391168565509,0.0
A172_Phase_A7_1_02d20h00m_4,A172,68.0,1.0,0.016624221156139905,0.24483824295148351,0.0
A172_Phase_A7_1_03d00h00m_1,A172,72.0,1.0,0.015063606800750197,0.2140698397390097,0.0
A172_Phase_A7_1_03d00h00m_2,A172,72.0,1.0,0.025248582535351255,0.2533597961426296,0.0
A172_Phase_A7_1_03d00h00m_3,A172,72.0,1.0,0.010898099796603642,0.1967534296246985,0.0
A172_Phase_A7_1_03d00h00m_4,A172,72.0,1.0,0.014909689542134761,0.2603182398225288,0.0
A172_Phase_A7_2_00d00h00m_1,A172,0.0,1.0,0.02068391763096623,0.13808536259681145,0.0
A172_Phase_A7_2_00d00h00m_2,A172,0.0,1.0,0.025464632761534822,0.14365143307643383,0.0
A172_Phase_A7_2_00d00h00m_3,A172,0.0,1.0,0.020078027365741942,0.13247769826732414,0.0
A172_Phase_A7_2_00d00h00m_4,A172,0.0,1.0,0.016352148905760956,0.13730507025117034,0.0
A172_Phase_A7_2_00d04h00m_1,A172,4.0,1.0,0.017749925175291236,0.152031507238144,0.0
A172_Phase_A7_2_00d04h00m_2,A172,4.0,1.0,0.038476619721843214,0.15223432390776137,0.0
A172_Phase_A7_2_00d04h00m_3,A172,4.0,1.0,0.03308274475398166,0.1784106121371884,0.0
A172_Phase_A7_2_00d04h00m_4,A172,4.0,1.0,0.028577523807303187,0.15794589818642946,0.0
A172_Phase_A7_2_00d08h00m_1,A172,8.0,1.0,0.023793771728571105,0.18955921899648598,0.0
A172_Phase_A7_2_00d08h00m_2,A172,8.0,1.0,0.0230602756509192,0.1824630215022027,0.0
A172_Phase_A7_2_00d08h00m_3,A172,8.0,1.0,0.022080153748384772,0.21963011391405507,0.0
A172_Phase_A7_2_00d08h00m_4,A172,8.0,1.0,0.025031012395088998,0.16629863974129352,0.0
A172_Phase_A7_2_00d12h00m_1,A172,12.0,1.0,0.020699619746744103,0.21641116939719296,0.0
A172_Phase_A7_2_00d12h00m_2,A172,12.0,1.0,0.033187958578936666,0.18767060731145904,0.0
A172_Phase_A7_2_00d12h00m_3,A172,12.0,1.0,0.03957379523801451,0.23287631242206547,0.0
A172_Phase_A7_2_00d12h00m_4,A172,12.0,1.0,0.03966499351970349,0.21325457536923217,0.0
A172_Phase_A7_2_00d16h00m_1,A172,16.0,1.0,0.020681775050377067,0.20273975713432568,0.0
A172_Phase_A7_2_00d16h00m_2,A172,16.0,1.0,0.03141259153121005,0.19989082578115064,0.0
A172_Phase_A7_2_00d16h00m_3,A172,16.0,1.0,0.04480194647143875,0.2040644512262846,0.0
A172_Phase_A7_2_00d16h00m_4,A172,16.0,1.0,0.0429314523354723,0.2155037764482619,0.0
A172_Phase_A7_2_00d20h00m_1,A172,20.0,1.0,0.018602979572041246,0.2301310103936086,0.0
A172_Phase_A7_2_00d20h00m_2,A172,20.0,1.0,0.027189069320826643,0.19624044164545884,0.0
A172_Phase_A7_2_00d20h00m_3,A172,20.0,1.0,0.03465542209025329,0.2013752346931122,0.0
A172_Phase_A7_2_00d20h00m_4,A172,20.0,1.0,0.027812133922684407,0.22852541516414906,0.0
A172_Phase_A7_2_01d00h00m_1,A172,24.0,1.0,0.046333238133826615,0.21693968416760734,0.0
A172_Phase_A7_2_01d00h00m_2,A172,24.0,1.0,0.03737593091797235,0.2120200592270638,0.0
