centroid,bandwidth,skewness,kurtosis,total_power,low_power,mid_power,high_power,filename,cell_line,cell_count,mean_area
115.8438234267412,68.00826021319702,0.5070490552960231,2.061215309955547,11.780771455397575,0.2902838021272232,0.5294103956799103,0.18030580219286654,A172_Phase_A7_1_00d00h00m_1,A172,-1,-1.0
119.27777081558378,68.39133247127069,0.4534550686805625,2.0718494833365386,12.039120400898605,0.2611188702825158,0.554857429152315,0.1840237005651694,A172_Phase_A7_1_00d00h00m_2,A172,-1,-1.0
118.62103108904562,63.497270664506544,0.5562020521708975,2.234413133019489,11.979500779791868,0.22322509285879744,0.6140805500817614,0.16269435705944132,A172_Phase_A7_1_00d00h00m_3,A172,-1,-1.0
119.85273043069829,64.7203187454349,0.5302383209542982,2.1466079914387133,12.091202729238603,0.22004413642751647,0.6017988664749025,0.17815699709758084,A172_Phase_A7_1_00d00h00m_4,A172,-1,-1.0
122.01792966985994,70.09172234322466,0.345245032269368,1.8499047646373121,11.945400307443938,0.2818681230614003,0.5126102561170451,0.20552162082155465,A172_Phase_A7_1_00d04h00m_1,A172,77,656.625865584444
131.04793090390336,65.44567802459575,0.3124329758598846,1.9892150055240496,12.114286281576154,0.17529618160572655,0.6083479023125855,0.21635591608168797,A172_Phase_A7_1_00d04h00m_2,A172,-1,-1.0
120.4262910239878,67.50468043909477,0.42657048788430496,2.010831917296388,12.034999657243898,0.25692060180242243,0.5613210704333328,0.18175832776424464,A172_Phase_A7_1_00d04h00m_3,A172,-1,-1.0
122.87743793016399,68.99291973065864,0.3734982556164288,1.9465899034754253,12.194090658339217,0.25002991388366497,0.5443123207190754,0.20565776539725947,A172_Phase_A7_1_00d04h00m_4,A172,-1,-1.0
128.33879128116337,71.36345412977172,0.171693896399228,1.763561343971859,11.826310592168793,0.27156684358518907,0.49989481201993213,0.22853834439487894,A172_Phase_A7_1_00d08h00m_1,A172,-1,-1.0
125.7184058416412,66.98047086370887,0.371115136993456,1.9270634557508473,11.943136162590282,0.21364998576033498,0.5771025994238747,0.20924741481579007,A172_Phase_A7_1_00d08h00m_2,A172,-1,-1.0
129.4652115225797,70.90377682469581,0.18584697358991692,1.765731937628874,11.953634769393025,0.24130378333538316,0.516773420258024,0.24192279640659298,A172_Phase_A7_1_00d08h00m_3,A172,83,1037.5702650602504
