filename,cell_line,peak_freq_cyc_per_px,peak_period_px,centroid_freq_cyc_per_px,mean_period_px,cell_count,mean_area_px,median_area_px
A172_Phase_A7_1_00d00h00m_1,A172,0.06375000000000001,15.686274509803917,0.18421202652054006,5.428527218815964,-1,-1.0,-1.0
A172_Phase_A7_1_00d00h00m_2,A172,0.07375,13.559322033898306,0.20163812569868128,4.9593795644299625,-1,-1.0,-1.0
A172_Phase_A7_1_00d00h00m_3,A172,0.07375,13.559322033898306,0.18079426452621639,5.531148914599519,-1,-1.0,-1.0
A172_Phase_A7_1_00d00h00m_4,A172,0.06875,14.545454545454545,0.18433868957659408,5.42479716166417,-1,-1.0,-1.0
A172_Phase_A7_1_00d04h00m_1,A172,0.04375,22.857142857142858,0.21074932257099288,4.744973733726431,77,656.625865584444,669.4108000000124
A172_Phase_A7_1_00d04h00m_2,A172,0.10125,9.876543209876543,0.2097599832783688,4.767353545566017,-1,-1.0,-1.0
A172_Phase_A7_1_00d04h00m_3,A172,0.06375000000000001,15.686274509803917,0.20260563059349831,4.935696984682371,-1,-1.0,-1.0
A172_Phase_A7_1_00d04h00m_4,A172,0.04375,22.857142857142858,0.20604061971563328,4.853411921300513,-1,-1.0,-1.0
A172_Phase_A7_1_00d08h00m_1,A172,0.03375,29.629629629629626,0.22894492624291538,4.367862683879611,-1,-1.0,-1.0
A172_Phase_A7_1_00d08h00m_2,A172,0.061250000000000006,16.326530612244895,0.2051583439897606,4.874283836342088,-1,-1.0,-1.0
A172_Phase_A7_1_00d08h00m_3,A172,0.05875000000000001,17.021276595744677,0.2248639801161919,4.447132882212967,83,1037.5702650602504,1049.7471000000369
A172_Phase_A7_1_00d08h00m_4,A172,0.04625,21.62162162162162,0.2299932140466375,4.347954369632933,-1,-1.0,-1.0
A172_Phase_A7_1_00d12h00m_1,A172,0.10375000000000001,9.638554216867469,0.22131059965742708,4.518536398834616,-1,-1.0,-1.0
A172_Phase_A7_1_00d12h00m_2,A172,0.06625,15.094339622641508,0.22742267183155515,4.3970989873017965,-1,-1.0,-1.0
A172_Phase_A7_1_00d12h00m_3,A172,0.10375000000000001,9.638554216867469,0.21727460508202537,4.6024706827679225,101,1163.0018638614472,1058.3611499997787
A172_Phase_A7_1_00d12h00m_4,A172,0.07125,14.035087719298247,0.2254377738820658,4.435813851334134,-1,-1.0,-1.0
A172_Phase_A7_1_00d16h00m_1,A172,0.08125,12.307692307692307,0.24612282774205893,4.063011989477131,-1,-1.0,-1.0
A172_Phase_A7_1_00d16h00m_2,A172,0.10875,9.195402298850574,0.22951942708999543,4.35692966246337,-1,-1.0,-1.0
A172_Phase_A7_1_00d16h00m_3,A172,0.06875,14.545454545454545,0.247684731331129,4.0373905756148645,-1,-1.0,-1.0
A172_Phase_A7_1_00d16h00m_4,A172,0.07875,12.698412698412698,0.24333228666420484,4.109606718075954,-1,-1.0,-1.0
A172_Phase_A7_1_00d20h00m_1,A172,0.08374999999999999,11.940298507462687,0.2424111317946621,4.1252230976218724,102,1171.3362632353394,1075.4860499998904
