well_id,cell_line,filename,time_h,centroid,bandwidth,total_power,low_power,high_power,centroid_rate
A172_Phase_A7,A172,A172_Phase_A7_1_00d00h00m_1,0.0,115.8438234267412,68.00826021319702,11.780771455397575,0.2902838021272232,0.18030580219286654,0.0
A172_Phase_A7,A172,A172_Phase_A7_1_00d00h00m_2,0.0,119.27777081558378,68.39133247127069,12.039120400898605,0.2611188702825158,0.1840237005651694,3.433947388842583
A172_Phase_A7,A172,A172_Phase_A7_1_00d00h00m_3,0.0,118.62103108904562,63.497270664506544,11.979500779791868,0.22322509285879744,0.16269435705944132,-0.6567397265381629
A172_Phase_A7,A172,A172_Phase_A7_1_00d00h00m_4,0.0,119.85273043069829,64.7203187454349,12.091202729238603,0.22004413642751647,0.17815699709758084,1.2316993416526714
A172_Phase_A7,A172,A172_Phase_A7_2_00d00h00m_1,0.0,121.06193097823538,63.273136142973364,12.058497262770594,0.20373812171482095,0.17286887949697474,1.209200547537094
A172_Phase_A7,A172,A172_Phase_A7_2_00d00h00m_2,0.0,120.93927838373695,64.40346006043526,12.083497698521366,0.2088483412148927,0.18656124866077786,-0.12265259449843313
A172_Phase_A7,A172,A172_Phase_A7_2_00d00h00m_3,0.0,119.72187528792753,63.77426541698499,12.085195447515266,0.22467356119544502,0.16720439847062446,-1.2174030958094164
A172_Phase_A7,A172,A172_Phase_A7_2_00d00h00m_4,0.0,124.10947907029426,62.40388997537757,12.083983652155057,0.17891156463397304,0.17893071169452696,4.387603782366725
A172_Phase_A7,A172,A172_Phase_A7_1_00d04h00m_1,4.0,122.01792966985994,70.09172234322466,11.945400307443938,0.2818681230614003,0.20552162082155465,-2.0915494004343174
A172_Phase_A7,A172,A172_Phase_A7_1_00d04h00m_2,4.0,131.04793090390336,65.44567802459575,12.114286281576154,0.17529618160572655,0.21635591608168797,9.030001234043425
A172_Phase_A7,A172,A172_Phase_A7_1_00d04h00m_3,4.0,120.4262910239878,67.50468043909477,12.034999657243898,0.25692060180242243,0.18175832776424464,-10.621639879915563
A172_Phase_A7,A172,A172_Phase_A7_1_00d04h00m_4,4.0,122.87743793016399,68.99291973065864,12.194090658339217,0.25002991388366497,0.20565776539725947,2.4511469061761915
A172_Phase_A7,A172,A172_Phase_A7_2_00d04h00m_1,4.0,127.75261128517602,64.60538468305128,12.121864315701345,0.19236879147291494,0.19373273927011556,4.8751733550120235
A172_Phase_A7,A172,A172_Phase_A7_2_00d04h00m_2,4.0,122.9726460437518,66.73826283412933,12.124750773038766,0.22191000178724668,0.19397246160758042,-4.779965241424222
A172_Phase_A7,A172,A172_Phase_A7_2_00d04h00m_3,4.0,129.0976277390108,67.65210470622615,12.193971142528103,0.18780583749612298,0.22527394282287566,6.124981695258995
A172_Phase_A7,A172,A172_Phase_A7_2_00d04h00m_4,4.0,126.02972026448946,65.12756126098199,12.139841618614614,0.18913375420803236,0.19505220343296145,-3.067907474521334
A172_Phase_A7,A172,A172_Phase_A7_1_00d08h00m_1,8.0,128.33879128116337,71.36345412977172,11.826310592168793,0.27156684358518907,0.22853834439487894,2.3090710166739115
A172_Phase_A7,A172,A172_Phase_A7_1_00d08h00m_2,8.0,125.7184058416412,66.98047086370887,11.943136162590282,0.21364998576033498,0.20924741481579007,-2.620385439522167
A172_Phase_A7,A172,A172_Phase_A7_1_00d08h00m_3,8.0,129.4652115225797,70.90377682469581,11.953634769393025,0.24130378333538316,0.24192279640659298,3.7468056809384933
A172_Phase_A7,A172,A172_Phase_A7_1_00d08h00m_4,8.0,130.5778703157086,70.88054159197227,12.077443553104056,0.22363947862500633,0.2460306648682973,1.112658793128901
A172_Phase_A7,A172,A172_Phase_A7_2_00d08h00m_1,8.0,129.46911204991054,69.88753768270304,11.957848453958773,0.2346800819489152,0.2353568616962108,-1.108758265798059
A172_Phase_A7,A172,A172_Phase_A7_2_00d08h00m_2,8.0,132.7211298105655,66.48741549112684,12.02963005956008,0.1726519294829616,0.22888073036863205,3.252017760654951
A172_Phase_A7,A172,A172_Phase_A7_2_00d08h00m_3,8.0,137.7596754930577,70.05070191238558,12.176541504036237,0.1943862810818103,0.271634474056317,5.038545682492213
A172_Phase_A7,A172,A172_Phase_A7_2_00d08h00m_4,8.0,132.7619006539043,65.72608234809175,12.063530366563453,0.18487032503585618,0.2178918831421495,-4.997774839153408
A172_Phase_A7,A172,A172_Phase_A7_1_00d12h00m_1,12.0,137.98714165583877,64.22762487328451,11.959096909692057,0.12155344500172005,0.23707589418788289,5.225241001934478
A172_Phase_A7,A172,A172_Phase_A7_1_00d12h00m_2,12.0,136.5585324615206,68.3528670400262,11.973786788122164,0.16952014568281576,0.25389358961623676,-1.4286091943181702
